Campaign,Campaign ID,af_purchase,,
,,Event Counter,Average Daily Unique Users,Revenue
closingspace_287_17742_47622_IN_OS_offer_unionfb287,23857400326380726,29,29,"2 900,00 $"
duxgroup_926_19885_47622_IN_android_ALEX_unimnskfb926,23858360338890107,8,8,"800,00 $"
duxgroup_926_19885_47622_IN_android_ALEX_unimnskfb926,23858458310750175,9,9,"900,00 $"
duxgroup_922_19885_47622_IN_android_AK47_unimnskfb922,23856901550280407,12,12,"1 200,00 $"
closingspace_244_8423_47622_IN_android_men_unionfb244,23858319451470133,16,16,"1 600,00 $"
closingspace_244_8423_47622_IN_android_andr9_unionfb244,23858201694450540,11,11,"1 100,00 $"
closingspace_222_8423_47622_IN_android_lucky_unionfb222,23858770400460408,6,6,"600,00 $"
closingspace_203_8423_47622_IN_android_1B3_unionfb203,23857688268760365,17,17,"1 700,00 $"
closingspace_222_8423_47622_IN_android_lucky_unionfb222 — Копия,23858770917930408,8,8,"800,00 $"
closingspace_287_17742_47622_IN_OS_offer_unionfb287,23857400316310726,4,4,"400,00 $"
duxgroup_920_19885_47622_IN_android_offer_unimnskfb920,23858194966240537,6,6,"600,00 $"
closingspace_244_8423_47622_IN_android_andr9_unionfb244,23858357848260769,8,8,"800,00 $"
closingspace_222_8423_47622_IN_android_lucky_unionfb222 — Копия,23858770917920408,5,5,"500,00 $"
closingspace_244_8423_47622_IN_android_men_unionfb244,23857237715740769,4,4,"400,00 $"
closingspace_222_8423_47622_IN_android_lucky_unionfb222 — Копия,23858770917940408,4,4,"400,00 $"
closingspace_244_8423_47622_IN_android_march_unionfb244,23857695867520540,9,9,"900,00 $"
closingspace_253_8423_47622_IN_OS_men_unionfb253,23857598574890763,5,5,"500,00 $"
closingspace_253_8423_47622_IN_OS_offer_unionfb253,23857598147570763,3,3,"300,00 $"
duxgroup_926_19885_47622_IN_android_ALEX_unimnskfb926,23857844867550107,4,4,"400,00 $"
duxgroup_920_19885_47622_IN_android_offer_unimnskfb920,23858820455230537,1,1,"100,00 $"
closingspace_244_8423_47622_IN_android_men_unionfb244,23854958676020464,3,3,"300,00 $"
closingspace_244_8423_47622_IN_android_men_unionfb244,23856754914670723,2,2,"200,00 $"
duxgroup_920_19885_47622_IN_android_offer_unimnskfb920,23858820676360537,2,2,"200,00 $"
duxgroup_926_19885_47622_IN_android_ALEX_unimnskfb926,23858021162540107,1,1,"100,00 $"
closingspace_203_8423_47622_IN_android_1_unionfb203,23856898485200205,1,1,"100,00 $"
closingspace_259_19883_47622_IN_android_A1_unionfb259,23857116511600664,1,1,"100,00 $"
closingspace_269_androidid_47622_IN_android_android_unionfb269,23857909692330615,1,1,"100,00 $"
closingspace_253_8423_47622_IN_android_lucky_unionfb253,23856855348840100,1,1,"100,00 $"
duxgroup_926_19885_47622_IN_android_ALEX_unimnskfb926,23858021116270107,1,1,"100,00 $"
duxgroup_926_19885_47622_IN_android_ALEX_unimnskfb926,23858261843370175,1,1,"100,00 $"
closingspace_222_8423_47622_IN_android_lucky_unionfb222 — Копия,23856854394140100,2,2,"200,00 $"
duxgroup_927_19885_47622_IN_android_TM_unimnskfb927,23858142460830299,1,1,"100,00 $"
duxgroup_926_19885_47622_IN_android_ALEX_unimnskfb926,23857801595710107,1,1,"100,00 $"
duxgroup_920_19885_47622_IN_android_offer_unimnskfb920,23857836508860537,1,1,"100,00 $"
duxgroup_926_19885_47622_IN_android_ALEX_unimnskfb926,23857836760440107,1,1,"100,00 $"
closingspace_222_8423_47622_IN_android_lucky_unionfb222 — Копия,23856832214450100,1,1,"100,00 $"
closingspace_222_8423_47622_ww_android_pabloIN_unionfb222 — Копия — Копия,23857898906470062,1,1,"100,00 $"
closingspace_222_8423_47622_IN_android_lucky_unionfb222,23856832109900100,1,1,"100,00 $"
closingspace_244_8423_47622_IN_android_6JULY_unionfb244,23857316151790133,1,1,"100,00 $"
duxgroup_920_19885_47622_IN_android_offer_unimnskfb920,23857859298170537,1,1,"100,00 $"
closingspace_253_8423_47622_IN_android_lucky_unionfb253,23856514699600100,1,1,"100,00 $"
duxgroup_920_19885_47622_IN_android_offer_unimnskfb920,23857781302830537,1,1,"100,00 $"
