Campaign,Campaign ID,af_purchase,,
,,Event Counter,Average Daily Unique Users,Revenue
bounceleap_203_8423_47663_GB_IOS_10_unionfb203,N/A,1,1,"100,00 $"
bounceleap_203_8423_47663_GB_IOS_13_unionfb203,N/A,1,1,"100,00 $"
bounceleap_203_8423_47663_GB_IOS_18_unionfb203,N/A,2,2,"200,00 $"
bounceleap_203_8423_47663_GB_IOS_26_unionfb203,N/A,2,2,"200,00 $"
bounceleap_203_8423_47663_GB_IOS_28_unionfb203,N/A,1,1,"100,00 $"
bounceleap_203_8423_47663_GB_IOS_40_unionfb203,N/A,1,1,"100,00 $"
bounceleap_203_8423_47663_GB_IOS_41_unionfb203,N/A,1,1,"100,00 $"
bounceleap_203_8423_47663_GB_IOS_46_unionfb203,N/A,1,1,"100,00 $"
bounceleap_203_8423_47663_GB_IOS_54_unionfb203,N/A,1,1,"100,00 $"
bounceleap_203_8423_47663_GB_IOS_56_unionfb203,N/A,1,1,"100,00 $"
bounceleap_203_8423_47663_GB_IOS_58_unionfb203,N/A,3,3,"300,00 $"
bounceleap_203_8423_47663_GB_IOS_5_unionfb203,N/A,4,4,"400,00 $"
bounceleap_203_8423_47663_GB_IOS_MRL10_unionfb203,N/A,1,1,"100,00 $"
bounceleap_203_8423_47663_GB_IOS_MRL13_unionfb203,N/A,1,1,"100,00 $"
bounceleap_203_8423_47663_GB_IOS_MRL15_unionfb203,N/A,1,1,"100,00 $"
bounceleap_269_8423_47663_GB_iOS_offer_unionfb269,N/A,18,18,"1 800,00 $"
bounceleap_269_8423_47663_GB_OS_baeva6_unionfb269,N/A,1,1,"100,00 $"
bounceleap_58_8423_47663_ww_ios_offer_unionfb58,N/A,1,1,"100,00 $"
bounceleap_88_8423_47663_ww_ios_leader_unionfb88,N/A,15,15,"1 500,00 $"
bounceleap_95_8423_47663_gbinst10_ios_777_unionfb,N/A,1,1,"100,00 $"
bounceleap_95_8423_47663_gbinst5_ios_777_unionfb,N/A,1,1,"100,00 $"
dropflinkoios_269_8423_46897_US_OS_instal1-14_unionfb269,N/A,1,1,"100,00 $"
dropflinkoios_269_8423_46897_US_OS_instal1-15_unionfb269,N/A,1,1,"100,00 $"
dropflinkoios_269_8423_46897_US_OS_instal1-21_unionfb269,N/A,2,2,"200,00 $"
dropflinkoios_269_8423_46897_US_OS_instal1-22_unionfb269,N/A,4,4,"400,00 $"
dropflinkoios_269_8423_46897_US_OS_instal1-26_unionfb269,N/A,1,1,"100,00 $"
dropflinkoios_269_8423_46897_US_OS_instal1-27_unionfb269,N/A,1,1,"100,00 $"
dropflinkoios_269_8423_46897_US_OS_instal1-34_unionfb269,N/A,1,1,"100,00 $"
dropflinkoios_269_8423_46897_US_OS_instal1-4-_unionfb269,N/A,6,6,"600,00 $"
dropflinkoios_269_8423_46897_US_OS_instal1-5_unionfb269,N/A,7,7,"700,00 $"
dropflinkoios_269_8423_46897_US_OS_instal2_unionfb269,N/A,3,3,"300,00 $"
dropflinkoios_269_8423_46897_WW_OS_GB_unionfb269,N/A,1,1,"100,00 $"
dropflinkoios_275_8423_46897_WW_OS_ukteh9_unionfb275,N/A,11,11,"1 100,00 $"
shadowplinko_269_8423_12990_WW_iOS_offer_unionfb269,N/A,14,14,"1 400,00 $"
